Id,Title,Labels,Iteration,Iteration Start,Iteration End,Type,Estimate,Current State,Created at,Accepted at,Deadline,Requested By,Description,URL,Owned By,Owned By,Owned By,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status
3192611,Driver module,driver module,,,,epic,,,14-Nov-16,,,,"Driver able to send notification to notify customer taxi have arrived pick up point. Update own status, after have complete their job",https://www.pivotaltracker.com/epic/show/3192611,,,,,,,,,,,,,
3192605,Staff module,staff module,,,,epic,,,14-Nov-16,,,,"Staff can view customer information, send promotion code and generate report",https://www.pivotaltracker.com/epic/show/3192605,,,,,,,,,,,,,
3192603,Payment module,payment module,,,,epic,,,14-Nov-16,,,,Customer can make payment and view payment history here,https://www.pivotaltracker.com/epic/show/3192603,,,,,,,,,,,,,
3192601,Maintain Driver module,maintain driver module,,,,epic,,,14-Nov-16,,,,"Staff can create,update and retrieve driver information",https://www.pivotaltracker.com/epic/show/3192601,,,,,,,,,,,,,
3192595,Reservation module,reservation module,,,,epic,,,14-Nov-16,,,,Customer able to make reservation and view history ,https://www.pivotaltracker.com/epic/show/3192595,,,,,,,,,,,,,
3192591,Customer Login Module,customer login module,,,,epic,,,14-Nov-16,,,,Customer able to login to the system and maintain their personal information,https://www.pivotaltracker.com/epic/show/3192591,,,,,,,,,,,,,
135665801,Registration,customer login module,1,14-Nov-16,4-Dec-16,feature,3,accepted,14-Nov-16,4-Dec-16,,kokcc,"as a customer, i should able to register a login id, so that i'm able to login  and system able to get my information",https://www.pivotaltracker.com/story/show/135665801,koh choon teng,Sherlyn Khoo,,Let customer to key in their information,completed,Prompt successful message,completed,Add customer information accordingly to the database,completed,,,,
135665831,Login,customer login module,1,14-Nov-16,4-Dec-16,feature,3,accepted,14-Nov-16,4-Dec-16,,kokcc,"as a customer, i will register as member and login to the system, so that i can make reservation using my id",https://www.pivotaltracker.com/story/show/135665831,khor weisan,BooHan Khoo,,Let user to enter their user id and password,completed,Verify the id and password in database,completed,Prompt successful message,completed,,,,
135666955,Add new reservation,reservation module,1,14-Nov-16,4-Dec-16,feature,3,accepted,14-Nov-16,4-Dec-16,,kokcc,"as a customer, i should able to add new reservation, so that i can make booking online",https://www.pivotaltracker.com/story/show/135666955,khor weisan,,,Let user to key in pick up/ drop off location and pick up time,completed,"Check location, time and driver availability in database",completed,Show distance and time needed,completed,Let user direct proceed to payment ,completed,Add the pick up location and destination to favorite,completed
135667411,Add new payment,payment module,1,14-Nov-16,4-Dec-16,feature,2,accepted,14-Nov-16,4-Dec-16,,kokcc,"as a customer, i should able to add payment online, so that i can pay it using my credit card",https://www.pivotaltracker.com/story/show/135667411,BooHan Khoo,,,Get reservation details from database,completed,Let user to key in credit card details ,completed,Generate an online receipt,completed,,,,
